SYMBOL,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
ADAM9,0.039960086,0.037241152,0.029761796,0.03032023,0.103227933,0.104280718,0.200587729,0.187670506,0.132934801,0.13401505,"ER, peroxisome"
ADAMTS12,0.050142918,0.042424461,0.065543763,0.073731098,0.081052812,0.076345996,0.179255746,0.151348476,0.140663463,0.139491267,unknown
ADAMTSL1,0.041405856,0.030039729,0.039671878,0.046436295,0.086222502,0.114928402,0.15664866,0.178209049,0.149874715,0.156562914,unknown
ADAMTSL4,0.051021337,0.047316487,0.043502403,0.042064157,0.095561462,0.100395063,0.184896592,0.164488057,0.131663268,0.139091174,unknown
ADAP1,0.18819671,0.150569913,0.1352199,0.161914406,0.061346285,0.073640632,0.072287537,0.068452274,0.0464712,0.041901143,unknown
ADAR,0.051094371,0.048942093,0.044593068,0.04668309,0.141152091,0.135566841,0.086153381,0.090111082,0.169442987,0.186260995,Nucleus (Nucleolus)
ADARB1,0.061767124,0.068541756,0.048378736,0.05220399,0.135340698,0.129584942,0.074538825,0.075262763,0.175344988,0.179036179,"Nucleosol, Ribosome"
ADAT1,0.081068008,0.097504111,0.155693141,0.159823933,0.084724775,0.093847344,0.085556738,0.081648447,0.080168327,0.079965174,unknown
ADAT2,0.309769307,0.264260018,0.131236451,0.127592289,0.032688677,0.033364673,0.033209271,0.030513058,0.019821444,0.017544814,Cytosol_5
ADAT3,0.127589525,0.154777178,0.19770952,0.197256707,0.070469039,0.068808724,0.048677408,0.047507641,0.044856798,0.042347459,Cytosol_5
ADCK1,0.051373614,0.052634485,0.063549768,0.061423772,0.117573973,0.128231559,0.169039621,0.184676269,0.085794487,0.085702453,Mitochondria membrane
ADCK2,0.047853709,0.060820882,0.044118195,0.05161717,0.103513806,0.093089764,0.222444759,0.204959571,0.084845549,0.086736595,unknown
ADCK3,0.044374832,0.046339632,0.059907877,0.067526112,0.145617661,0.132735243,0.152133013,0.180057276,0.077044273,0.09426408,Mitochondria membrane
ADCK4,0.051212118,0.054756769,0.0597839,0.062644328,0.147905995,0.142840852,0.146946184,0.141462905,0.090212774,0.102234175,Mitochondria membrane
ADCK5,0.052954169,0.086007731,0.063379348,0.051253451,0.139646604,0.128072888,0.130193263,0.140784097,0.09362783,0.114080618,unknown
ADCY3,0.047501294,0.050357978,0.033691014,0.037842133,0.130273706,0.129639879,0.173070399,0.164187898,0.110330483,0.123105215,Plasma Membrane
ADCY5,0.126207352,0.088718644,0.115775485,0.103580363,0.090273435,0.078547356,0.089778334,0.138341672,0.095867209,0.072910152,unknown
ADCY6,0.078693607,0.084497396,0.048494079,0.059002181,0.108361421,0.104702511,0.165191687,0.158009048,0.098177755,0.094870316,Plasma Membrane
ADCY7,0.052505182,0.054632783,0.032379717,0.034562107,0.138175376,0.137079616,0.139134167,0.145462183,0.128623999,0.13744487,unknown
ADCY9,0.049933288,0.046826166,0.034900298,0.036472136,0.114597993,0.113263758,0.202310237,0.19239486,0.105751832,0.103549431,Plasma Membrane
ADD1,0.113821577,0.122285786,0.116214223,0.120450825,0.093439113,0.094419559,0.094023783,0.088258046,0.077823952,0.079263137,unknown
ADD2,0.202133453,0.187066156,0.115645612,0.111807471,0.066156067,0.068706183,0.068498716,0.067046447,0.055972891,0.056967004,unknown
ADD3,0.164350274,0.162785616,0.108005105,0.110994563,0.075488191,0.077891995,0.089229209,0.083136658,0.066406182,0.061712208,unknown
ADH5,0.237457537,0.2682269,0.114866595,0.112451136,0.052627985,0.050707567,0.047430054,0.04367457,0.0373756,0.035182056,Cytosol_4
ADI1,0.241473778,0.263781729,0.122042779,0.110541365,0.054935225,0.058745068,0.045845913,0.045318765,0.029049057,0.028266322,Cytosol_4
ADIPOR1,0.067702976,0.080599688,0.028431821,0.049367547,0.092553435,0.0934583,0.127757458,0.111917552,0.168114451,0.180096773,unknown
ADIPOR2,0.066596926,0.066242731,0.02956294,0.026523451,0.127889162,0.123243439,0.167410751,0.1572297,0.11036062,0.124940281,"ER, peroxisome"
ADIRF,0.405269579,0.317888682,0.058745352,0.055128689,0.026268011,0.026289798,0.033857193,0.029688589,0.024488729,0.022375378,unknown
ADK,0.204817879,0.198400585,0.149168608,0.140760971,0.067618104,0.061013379,0.049231978,0.047652199,0.038628716,0.04270758,Cytosol_5
ADM,0.026733232,0.011901981,0.030324263,0.032192767,0.055802094,0.08163027,0.195151621,0.185507416,0.204708241,0.176048114,unknown
ADM2,0.287266588,0.144112798,0.058673874,0.05241258,0.087071617,0.069999683,0.090083378,0.09217576,0.060552262,0.05765146,unknown
ADNP,0.049704153,0.047231685,0.155303066,0.165778025,0.113129559,0.117640397,0.09108496,0.095822284,0.080459011,0.083846858,Nucleus (speckles)
