,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
P47856;P47856-2,0.1524833589349723,0.6848671042219431,0.31852162174742843,0.4274961597542248,0.3454638551412746,0.16067588325652887,0.05072382814318296,0.697155890704278,0.33233254200996104,0.33205325140809056,0.3039612717032077,0.32362798491830685,0.0,0.7702369315272544,0.7202904622259455,0.4492296234231714,0.4603128054740958,0.027263417585998234,0.0,1.0,0.7154028766931991,0.7595773402225017,0.4615416841223293,0.48945677977936014,0.02017595307917887,0.7257366289624355,0.8129683936135547,0.41263324489130937,0.45922822697016213,0.42459153749476325,unknown
Q80X95;Q6NTA4,0.14716984078036688,0.6705531506282518,0.6460007728729396,0.8547935687603189,0.46254103447871986,0.1481105598644746,0.16131966102885706,0.4060978894323277,0.721843809404848,0.5692209206556138,0.3693278737797003,0.19111039982512756,0.0,0.6221119728947996,0.900385265450627,0.5036047886895123,0.15802128913645094,0.03967414427742229,0.15650286704633667,1.0,0.6874158329657625,0.7876941452923061,0.6033366251995607,0.5524363062918881,0.03257386206169704,0.6448297532661685,0.5799943010379129,0.4828777416496535,0.6692259950739106,0.43990132208113597,unknown
Q9CWX4,0.006215254546560441,0.3825497232528436,1.0,0.036103846075867155,0.014857166028019403,0.007504206962269122,0.006072724692334207,0.13246355655576528,0.38453662591488885,0.007086247795146281,0.0031823895545688664,0.008036818522798693,0.004834559941609415,0.11897086551912922,0.25483040366563303,0.012068406220221834,0.0,0.0,0.06836567118788418,0.19237475417148234,0.27215497840763986,0.0344170062648258,0.010817468523812422,0.0,0.003748149950327449,0.21833627313829276,0.31116314903797476,0.01580398597003428,0.014983881759017117,0.020330271881272472,unknown
Q03157;A0A0R4IZZ1,0.0,0.2398650410744561,0.45889294562524485,0.5576346329378015,0.7792736993089067,0.37821097926717934,0.0,0.16440213847959367,0.2007823705828663,0.3884795931672969,0.435584822010693,0.3281718607380364,0.0,0.1679293258573476,0.14224801147476848,0.5014995436171599,1.0,0.33739731386099847,0.0,0.19259681835962994,0.26427826313730657,0.38166644934150495,0.5471704263919674,0.12228452210196897,0.0,0.12568783413743673,0.32641152692658765,0.6307210848872089,0.6898878602164558,0.6480636328074069,unknown
Q60952;E9Q5A8;A3KGJ7,0.2742193286811429,0.48177458968461256,0.5731940275232936,0.11385910880667383,0.10325133523059517,0.0,0.077536938131067,0.7149428872168728,0.48582901251413213,0.0,0.0,0.0,0.0,0.38640598807064047,0.6986472262289964,1.0,0.16592725429807784,0.0,0.0,0.442672800280691,0.35135082452925764,0.0,0.5351448286616506,0.2686717866749832,0.0,0.32128571985497595,0.29120891973022456,0.21782386651592495,0.0,0.5627850766052003,unknown
Q64322;A2AJ23;A2AJ20;A2AJ21,0.11715907703577051,0.17201196435111665,0.32178610670247876,0.4742766450982793,0.4609449395678185,0.321480893663778,0.1409473812721276,0.20230741057258023,0.0,0.5710963252350142,0.4554755219142968,0.33517275057990453,0.0,0.15886338664387736,0.37583933585642765,0.4835246001709196,0.4454340129410334,0.4430106214137475,0.15708094249786358,0.2070626297155413,0.22328165059211397,1.0,0.8739470150164816,0.45454157001587103,0.15882065681845958,0.2542912953241358,0.6521792210963256,0.8409229642290327,0.8105237455744113,0.36510194115492606,unknown
Q4G0F8;Q4G0F8-2;Q4G0F8-3,0.7687944298373719,0.07143344045184533,0.00919064660629078,0.0039277193494984845,0.0,0.0,0.6308671730450878,0.027794819359236493,0.0,0.0,0.0,0.0,0.7813199922095626,0.02440963092803583,0.02750267796280065,0.0,0.0,0.018686094069529622,1.0,0.0,0.0,0.0,0.0,0.0,0.9089736098938522,0.0,0.0,0.0,0.0,0.0,unknown
Q8C0I4,0.4323310660479311,0.026467908376242227,0.0019921386646324663,0.0,0.0,0.0,0.3708388955989233,0.0,0.0,0.0,0.0,0.0,0.5224079842349498,0.037037272476850236,0.0,0.0,0.0,0.0,1.0,0.018319454156336734,0.0,0.0,0.0,0.0,0.4704087470599447,0.05728709766278887,0.0,0.0,0.0,0.0,unknown
Q9D187;F8WHV1,0.26180133217492124,0.7855198378221838,0.3602027222704898,0.5254039965247608,0.44053866203301545,0.19348392701998218,0.24458731537793274,0.6476686938893719,0.574567043150883,0.5546828844483069,0.46963799594555566,0.19957138719953724,0.0,0.829365768896612,0.7344338256588481,0.46682305241818745,0.33454387489139964,0.2194497538372426,0.21592238633072716,0.9271937445699403,0.7715609614827688,0.8422820735592239,0.5968143643208808,0.40866492904720597,0.0,0.7489139878366647,0.6071242397914866,1.0,0.6141326382855495,0.31629307848247873,unknown
Q9CQM5,0.38482485128883076,0.5828684732319899,0.5428949107732985,0.6648777263714468,0.5959021810971574,0.1456549900859217,0.07686979510905483,0.8861070720423002,0.3555584930601451,0.32021150033046947,0.405208195637806,0.21087111698611993,0.0,0.9587574355584936,0.580938532716457,0.6453403833443487,0.44063450099140744,0.25523066754791846,0.0,0.46416391275611385,0.6394976867151361,0.9065697290152013,0.5844018506278912,0.12107865168539327,0.008763780568407141,0.6151751487111692,1.0,0.4686847323198948,0.4926371447455391,0.29684071381361593,unknown
P15532;Q5NC81;Q5NC80,0.1361443435563697,0.5182572775807639,0.22760609485211022,0.348396399205019,0.03688048010599737,0.02575893379057716,0.11754023615603422,0.5404699738903389,0.659795019679669,0.31751685437044547,0.288079186313861,0.13420755231674553,0.07788472779704605,0.4269514048556171,0.7983710689372979,0.46369977787303657,0.5915591754023612,0.14626865671641756,0.0,0.346541444214956,0.454619851135965,0.5670862398191809,0.3859436498967304,0.2665640466076923,0.25954171700245493,0.276645493160828,1.0,0.5088266240598571,0.3487977865242971,0.181602431705701,unknown
Q7TQF2;F6Q7Q7,0.0,0.10501807178280238,0.17187526267126202,0.33128099520887744,0.37704883584097004,1.0,0.08803900142893203,0.26476422627553226,0.17891905522400667,0.27887282508195493,0.38787929730184256,0.607422039169541,0.0692359418340761,0.17330839707489387,0.211776078002859,0.3224888627385068,0.7147179961334815,0.7703202488022225,0.0,0.2528284441455837,0.30058838362612544,0.3391821467596891,0.4812978061696249,0.8008741699588164,0.0,0.1081323022610751,0.21087248886273932,0.32966714297722266,0.3948768597125345,0.6945868706396596,unknown
Q9ES97-3,0.08602891813858912,0.2745885427181867,0.6265821018749674,0.9784156247896945,1.0,0.9546153631509559,0.0,0.07213859302701565,0.2123795829865882,0.1636464955345786,0.19879291638557697,0.23741089264112275,0.02373788853927123,0.07259818428624641,0.2042464590955567,0.21789878159074333,0.03726300273949213,0.7742668288367237,0.057645054387701185,0.0779409326748046,0.212814553285503,0.5374131905974188,0.45485090367131287,0.5339662561531875,0.046614864166161896,0.12673146903421834,0.3258083471621054,0.3575119370622591,0.33685495135718874,0.30400648680234416,unknown
O35972,0.043946922642574826,0.4603613777526822,0.765598531902879,0.11014963297571996,0.0,0.0,0.05384387351778656,0.5430265386787129,0.6966826651609263,0.1447699040090347,0.12056041784302643,0.0,0.05854107848673071,0.3073969508752117,0.6321146245059289,0.11593026538678745,0.1907044042913611,0.0,0.0,0.5330463015245628,0.567857142857143,0.13046301524562387,0.0,0.0,0.024337238848108435,0.5813382269904012,1.0,0.1259952004517225,0.0,0.0,unknown
E9QA25;E9Q2Z1,0.4037607209559567,0.013999528549928374,0.013619285934468489,0.015431104825110183,0.025073890732379568,0.024834539157555027,0.6680810168815403,0.05973453734428563,0.0298881212714646,0.05886779452029968,0.044892926435656205,0.14028903515929605,0.8650927487352438,0.05241255507806136,0.04478413026528145,0.034470253313750095,0.03159078133783031,0.0,1.0,0.3960361928593456,0.3144027996881183,0.1235289851130578,0.0,0.7067943208399077,0.6270104625650523,0.304357286623511,0.22769225189940004,0.14199894830368695,0.23269687573664094,0.9276505467007609,unknown
Q9CQZ6,0.016973345489649322,0.3619274911509178,0.5569827308806196,0.1496513997640252,0.0034693768100396995,0.0,0.07597071758017819,0.7007669205191485,0.904134935106729,0.14967553362651564,0.0,0.0,0.0688324573635098,0.5467392470234919,1.0,0.1545532553898962,0.0018339053952590395,0.0,0.07722031534913677,0.5022793092352261,0.7625227930923556,0.11725303014051328,0.0,0.0,0.06914887911616452,0.5484018019950674,0.528129357502951,0.06608924166040996,0.004899174085594781,0.0,unknown
O88325,0.14657015359070152,0.3082658779576588,0.5611249481112496,0.8113843918638435,0.47471980074719755,0.19866127023661315,0.0,0.36583644665836457,0.6847239518472392,0.6635014528850142,0.2835253217102533,0.0,0.0,0.26014943960149445,0.8552822748028227,0.5968244084682433,0.4604815276048147,0.0,0.0,0.3350664176006646,0.778175591531756,0.8542444997924448,0.29209734329597287,0.14600975508509711,0.0,0.3241957243669567,1.0,0.5377231216272308,0.2519458281444581,0.0,unknown
Q9CXI0,0.01240634479733932,0.43717334892730625,0.9778334125214736,0.03179708343993281,0.0,0.0,0.007463725741018249,0.44925258579730376,0.7171156024999107,0.048728116662402815,0.0,0.0,0.011182705310478453,0.48382734549176004,0.7016556412411848,0.08115200467819182,0.0,0.0,0.19832973941010992,0.896586382076683,1.0,0.08904279814334293,0.0,0.0,0.07822996235517761,0.3213150104162866,0.7076313000255855,0.03479039508789894,0.0,0.0,unknown
