Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q9UHX1;Q9UHX1-3;Q9UHX1-5,0.118222985,0.121059026,0.043048672,0.027163283,0.022614929,0.102496499,0.089869706,0.040291015,0.028242118,0.025141,0.115907123,0.15013913,0.05327837,0.033917762,0.028608381,unknown
Q14671-2;Q14671-3,0.178334917,0.091418042,0.036046307,0.024826676,0.023882065,0.150815466,0.094027872,0.035193621,0.024542976,0.024885318,0.125567731,0.098396962,0.037879,0.025797702,0.028385344,unknown
Q8TB72-3;Q8TB72-4,0.133639657,0.101473428,0.039207184,0.027436267,0.026566818,0.142130637,0.096713505,0.038416879,0.025952889,0.025942714,0.137924719,0.10851721,0.041228173,0.024798523,0.030051398,unknown
Q00577,0.157775041,0.08808868,0.036028299,0.023692684,0.020516526,0.159384941,0.087303127,0.036611646,0.023394949,0.020067984,0.162861743,0.10359609,0.037073764,0.022266565,0.021337963,unknown
Q9Y606;Q9Y606-2,0.020375299,0.036248356,0.10028427,0.094752476,0.088789184,0.018994508,0.03465872,0.094942335,0.085358781,0.087809686,0.015950295,0.035101868,0.109919603,0.090856056,0.085958562,unknown
Q96PZ0,0.094017854,0.102890022,0.039925599,0.036199628,0.035473415,0.127362628,0.111762189,0.05487609,0.043699024,0.033975231,0.101424038,0.089162313,0.047023333,0.045561586,0.03664705,unknown
Q96C36,0.005442992,0.01098253,0.108273277,0.123596609,0.12203515,0.00472348,0.010691408,0.093385483,0.083408597,0.112574705,0.003707184,0.011381389,0.100103261,0.085796631,0.123897304,unknown
P47897;P47897-2,0.071432729,0.039409362,0.068181793,0.12528734,0.041057345,0.07037288,0.041357727,0.066874829,0.108999711,0.033116714,0.057945738,0.040023306,0.067528311,0.123859564,0.04455265,unknown
Q9NXS2;Q9NXS2-3,0.037401006,0.030382908,0.046461307,0.09133005,0.139016073,0.033505284,0.028722833,0.050464353,0.086413876,0.10408354,0.033748063,0.030277314,0.052840216,0.097808494,0.137544683,unknown
Q6ZRP7,0.019649593,0.030057446,0.067874776,0.092549116,0.12046223,0.018538492,0.030532027,0.066069431,0.088485153,0.121198315,0.015133131,0.033001785,0.078067614,0.097287178,0.121093714,unknown
