Protein_ID,lps_rep1_set1_126_cyto,lps_rep1_set1_127N_F1.4,lps_rep1_set1_127C_F8,lps_rep1_set1_128N_F10,lps_rep1_set1_128C_F12,lps_rep1_set1_129N_F14,lps_rep1_set1_129C_F16,lps_rep1_set1_130N_F18,lps_rep1_set1_130C_F20,lps_rep1_set1_131_F22,lps_rep1_set2_126_F5.7,lps_rep1_set2_127N_F9,lps_rep1_set2_127C_F11,lps_rep1_set2_128N_F13,lps_rep1_set2_128C_F15,lps_rep1_set2_129N_F17,lps_rep1_set2_129C_F19,lps_rep1_set2_130N_F21,lps_rep1_set2_130C_F23,lps_rep1_set2_131_F25,markers
Q9BYX4,0.333676983,0.002450523,0.006154555,0.005578138,0.008909107,0.007245979,0.02155397,0.030826284,0.061764684,0.021822752,0.003818687,0.011511788,0.016629842,0.017580293,0.032745165,0.125030695,0.059634474,0.150746037,0.045052036,0.037268008,unknown
Q9BYX7,0.376617674,0.005579631,0.010987475,0.004374552,0.003144978,0.006776808,0.030494564,0.030452818,0.015063937,0.016507563,0.01238289,0.008262232,0.030698478,0.027907915,0.024647334,0.12520745,0.120662896,0.090583757,0.051264219,0.008382828,unknown
Q9BZ67,0.086863266,0.024766551,0.024096128,0.022518104,0.037553316,0.042798657,0.07148538,0.062317244,0.055269667,0.043686637,0.036390878,0.038271092,0.05076699,0.044036768,0.060022741,0.119766209,0.052029286,0.080125746,0.031865111,0.015370229,unknown
Q9BZ95,0.032482182,0.000920658,0.002924279,0.004411727,0.008724024,0.012041416,0.044496758,0.072054582,0.196148025,0.12150566,0.002219773,0.005551504,0.006734565,0.009432139,0.032092287,0.075196405,0.077489315,0.186830058,0.073945079,0.034799565,unknown
Q9BZC7-3,0.003754414,0.00317568,0.011584213,0.020012627,0.035795635,0.041155943,0.108266668,0.111264164,0.095705328,0.063827507,0.004260098,0.01668686,0.031037023,0.036053954,0.048986501,0.160287777,0.065713699,0.087041534,0.032288231,0.023102141,unknown
Q9BZD4,0.062751453,0.002721055,0.005783603,0.004730448,0.014168613,0.015252285,0.058357347,0.098794731,0.15141818,0.086022284,0.006776299,0.012871176,0.0132367,0.02217719,0.02958351,0.07640306,0.072560344,0.11590743,0.084748547,0.065735744,unknown
Q9BZE1,0.003739898,0.000785233,0.002480832,0.003231084,0.007824918,0.013387826,0.062542164,0.158343119,0.179703685,0.06436322,0.001827268,0.006455288,0.010231112,0.014699508,0.030169428,0.184304113,0.085466222,0.107521681,0.042691473,0.020231928,Mitochondria
Q9BZE4,0.062067379,0.002979991,0.00695671,0.006875456,0.010363831,0.017290855,0.070361788,0.078845892,0.160456211,0.096896859,0.001950075,0.003681121,0.008900174,0.008527806,0.019083925,0.04911103,0.04089796,0.067425335,0.09548319,0.191844413,Nucleolus
Q9BZE9-2,0.293118327,0.008197877,0.020093944,0.013648313,0.016649024,0.015178959,0.028855307,0.025760026,0.039882718,0.034171702,0.013775707,0.01963776,0.021060475,0.031924169,0.04874043,0.072876131,0.062842954,0.073135097,0.06111474,0.099336338,unknown
Q9BZF1,0.0028942,0.001494046,0.003682977,0.006550079,0.009075337,0.012422808,0.080462581,0.144595525,0.175698051,0.060872908,0.004597679,0.009725465,0.01585129,0.023336099,0.042990655,0.203430787,0.062903824,0.089615471,0.031071071,0.018729145,unknown
Q9BZF9,0.057080011,0.008577784,0.010449886,0.010840078,0.021678176,0.02130733,0.059135475,0.074244692,0.129761431,0.083177426,0.002983482,0.004325979,0.007636719,0.021861388,0.033026481,0.128794718,0.075565799,0.175299161,0.043054054,0.031199928,unknown
Q9BZH6,0.050565065,0.005976789,0.015857964,0.017811497,0.030406338,0.036842192,0.078074843,0.0845698,0.105324449,0.068316772,0.005963671,0.011240752,0.029795983,0.034620558,0.039965754,0.136986955,0.058496741,0.100490241,0.042875315,0.045818321,unknown
Q9BZI7,0.099955752,0.001415604,0.003651285,0.005871241,0.01129653,0.008984654,0.054722201,0.064932237,0.122360511,0.126809984,0.003039688,0.003341586,0.003647151,0.008912062,0.018818137,0.06458602,0.072556198,0.163165635,0.06443301,0.097500513,unknown
Q9BZK7,0.209202071,0.004698542,0.011294089,0.008297588,0.007344802,0.008694646,0.035471426,0.052413172,0.10821306,0.056549231,0.002639508,0.007618561,0.009974872,0.013692865,0.026818274,0.096569932,0.064639543,0.135260226,0.064741235,0.075866357,Nucleus
Q9BZL1,0.303829772,0.003302734,0.006037963,0.003277617,0.00665694,0.007476423,0.02483711,0.03801047,0.065113639,0.041457333,0.006717121,0.017131633,0.031175079,0.03018916,0.033951468,0.047661042,0.043381399,0.07202507,0.102696372,0.115071656,unknown
Q9BZQ6,0.026004914,0.003195101,0.006984191,0.009402441,0.020948006,0.018381196,0.121671228,0.127105972,0.111259105,0.061357573,0.002807212,0.008023971,0.01191409,0.015082499,0.032298403,0.211061878,0.074902701,0.084319083,0.030821296,0.022459141,Endoplasmic Reticulum
Q9BZQ8,0.237389527,0.008023431,0.009610582,0.012829079,0.017287158,0.015359123,0.051059779,0.053063415,0.064704822,0.034549267,0.010582719,0.019244788,0.022026137,0.024002895,0.038946026,0.17733491,0.05452223,0.111298548,0.025396383,0.012769182,unknown
Q9BZV1,0.155475169,0.001795307,0.015868079,0.004735095,0.014443701,0.016636134,0.059781508,0.073826945,0.083374456,0.074063605,0.004155997,0.009547635,0.011242021,0.015521128,0.029768001,0.134004398,0.088185704,0.12600255,0.047583996,0.033988569,unknown
Q9BZX2,0.28001896,0.001627409,0.000649163,0.004390512,0.00579183,0.006057622,0.029275586,0.040202543,0.081715463,0.051279966,0.021427427,0.029060816,0.026852044,0.029835426,0.038387589,0.091800021,0.05933124,0.108934978,0.060045104,0.033316302,Cytosol
Q9BZZ2,0.005380524,0.015546449,0.02285153,0.028332403,0.047781275,0.055985405,0.101508031,0.089073535,0.075860204,0.048587805,0.013788667,0.027924751,0.044564514,0.049327409,0.072017938,0.134807722,0.056927326,0.062791448,0.028260457,0.01868261,unknown
Q9BZZ5-2,0.136966842,0.001294277,0.002532668,0.003809141,0.006468439,0.010026462,0.042792047,0.056509168,0.129168704,0.108896073,0.00111898,0.003159664,0.00425917,0.006311786,0.018162513,0.054269279,0.055904672,0.126340166,0.123260185,0.108749765,unknown
Q9C037,0.013395689,0.000769456,0.004222264,0.008378776,0.012405643,0.010689641,0.057881242,0.125167876,0.222322887,0.064151366,0.005263627,0.010798464,0.016507163,0.019183935,0.036115151,0.135955677,0.087852705,0.097920098,0.042945604,0.028072735,unknown
Q9C0B5,0.005611541,0.060459971,0.036894624,0.041763501,0.071611464,0.062433226,0.09244331,0.057207561,0.03677691,0.029279814,0.033474208,0.04545114,0.061647824,0.066430867,0.085611588,0.105315834,0.040836457,0.035967323,0.017430352,0.013352485,Plasma Membrane
Q9C0B7,0.219152336,0.003712289,0.012467779,0.006472153,0.01190662,0.014193846,0.039180133,0.043388083,0.087817603,0.061709158,0.00916366,0.032528131,0.03336736,0.029066177,0.051642706,0.065656975,0.085462862,0.110305573,0.041765406,0.041041152,unknown
Q9C0C2,0.037910708,0.005689031,0.015403336,0.013474614,0.024185861,0.034867711,0.100980354,0.114831089,0.086008202,0.070187407,0.00361674,0.008549292,0.012961137,0.019264753,0.034536989,0.090521981,0.046515302,0.053245615,0.03292815,0.194321727,unknown
Q9C0C4,0.078052803,0.030183875,0.032435167,0.039496102,0.058630281,0.079918065,0.074130896,0.041321691,0.027854769,0.026647107,0.021884517,0.031846718,0.048409018,0.066649188,0.088059905,0.09413686,0.050374587,0.052083492,0.030797766,0.027087192,unknown
Q9C0C9,0.257853207,0.007670259,0.00221699,0.006629709,0.017274853,0.01770226,0.035419661,0.035443085,0.072060503,0.04754547,0.006350017,0.019286246,0.013299272,0.02566725,0.044559992,0.108759757,0.076349567,0.117735934,0.055779334,0.032396634,unknown
Q9C0D5,0.024043745,0.057651532,0.037879625,0.048144598,0.062497666,0.064777502,0.04838159,0.048215087,0.043480449,0.064928206,0.019693843,0.02247509,0.033163083,0.035901025,0.04174385,0.072138742,0.05198582,0.054425738,0.060214879,0.108257928,unknown
Q9C0E8-4,0.003628254,0.005461194,0.016473389,0.022879662,0.036895027,0.046685608,0.100480085,0.119664797,0.094872719,0.059870696,0.007337277,0.017889253,0.027586069,0.038769229,0.051865631,0.159649568,0.064528189,0.072757202,0.031119146,0.021587003,unknown
Q9C0H2,0.016544539,0.006765195,0.008277136,0.012149714,0.02314222,0.036948437,0.100275389,0.128846823,0.107383724,0.04645329,0.005238934,0.009843225,0.022379854,0.026720225,0.077626651,0.192498768,0.058471245,0.076236537,0.03019504,0.014003054,unknown
Q9C0K1,0.001323998,0.003025331,0.012229104,0.013862594,0.036702576,0.032979909,0.134775647,0.115701956,0.097017556,0.052381331,0.003681506,0.014582091,0.023399871,0.024525614,0.043032744,0.117275323,0.048977878,0.067908363,0.044828677,0.111787932,unknown
Q9GZL7,0.247529408,0.005006883,0.000668627,0.008899161,0.013553928,0.018068882,0.035545573,0.04921875,0.084824073,0.035832329,0.001225808,0.003771285,0.006648177,0.008309492,0.016259838,0.042276307,0.032286984,0.050202403,0.151317029,0.188555065,unknown
Q9GZM5,0.002776762,0.010443655,0.020183531,0.034144386,0.04242185,0.052032255,0.075728467,0.098071286,0.113086483,0.070543315,0.009589589,0.020021327,0.029423621,0.031777966,0.052983481,0.129685791,0.066119409,0.08096008,0.038909692,0.021097055,Golgi Apparatus
Q9GZN8-2,0.345410677,0.004464891,0.00519606,0.005043153,0.004069284,0.005492749,0.024071512,0.030016043,0.047148899,0.029086732,0.006733006,0.014034544,0.0175784,0.015911914,0.023485712,0.155437108,0.051577336,0.146545457,0.040976874,0.027719649,unknown
Q9GZP9,0.003127598,0.007659502,0.015406965,0.017483897,0.038832698,0.045491389,0.102391348,0.116018426,0.092682521,0.060905655,0.004683554,0.012051411,0.021136425,0.028081467,0.066617953,0.140843367,0.078977516,0.089689697,0.038129752,0.019788858,unknown
Q9GZQ3,0.049984527,0.001291832,0.006796906,0.01185278,0.024725246,0.035222801,0.106145363,0.100119396,0.097745776,0.062803859,0.001682991,0.007319383,0.017665256,0.028167418,0.05911403,0.167564493,0.088359425,0.081131947,0.027692955,0.024613615,unknown
Q9GZR2,0.046073167,0.006940632,0.015176668,0.018404166,0.01955845,0.029427127,0.06944397,0.075247573,0.108047771,0.115351202,0.004033916,0.008473159,0.008374043,0.01137975,0.028765128,0.043999164,0.043100897,0.055512248,0.110440076,0.182250892,Nucleolus
Q9GZR7,0.047954397,0.001193549,0.003496492,0.005151649,0.00972074,0.013815143,0.060734712,0.08756307,0.171984789,0.091668594,0.002410459,0.002925611,0.005543719,0.008588415,0.019759897,0.101010198,0.045726817,0.125129567,0.065601982,0.130020198,Nucleus
Q9GZS1-2,0.040200901,0.000555943,0.00124608,0.001829416,0.005895866,0.00772502,0.051672616,0.069023368,0.193330007,0.128085615,0.013778548,0.023235975,0.037595544,0.043768018,0.047485763,0.042351445,0.065204804,0.12855037,0.056723692,0.041741009,unknown
Q9GZS3,0.238496671,0.001882287,0.003675918,0.000886122,0.005763011,0.008391012,0.02788454,0.056453559,0.108385907,0.041707651,0.005291989,0.006004841,0.01141314,0.022770704,0.032630161,0.068200969,0.055239503,0.080150603,0.050960965,0.173810447,unknown
Q9GZT3,0.00241769,0.001022176,0.008015227,0.009649833,0.01796291,0.025571635,0.077086717,0.154829089,0.134665007,0.075325021,0.001969009,0.006612481,0.010776236,0.014866099,0.036286672,0.139738786,0.100877266,0.100403044,0.051463831,0.030461272,unknown
Q9GZT8,0.188085085,0.004366469,0.007786384,0.006075546,0.007010274,0.013807614,0.044734635,0.09113725,0.08859346,0.039598049,0.00470446,0.008635898,0.009321757,0.010084831,0.025437641,0.218518383,0.07421952,0.10408016,0.036110098,0.017692488,unknown
Q9GZT9,0.125433167,0.002905853,0.005097337,0.007137025,0.011191358,0.014330561,0.060643413,0.080350805,0.116701067,0.078402609,0.004039159,0.011900794,0.015808205,0.018929404,0.035402978,0.105118936,0.066744522,0.114411451,0.052180377,0.073270978,unknown
Q9GZU3,0.009711506,0.006312978,0.007590156,0.008873043,0.015308361,0.014933359,0.073890634,0.114058898,0.175406871,0.073914194,0.011836664,0.025964023,0.030088482,0.033541153,0.031661023,0.110073192,0.055818925,0.08697844,0.056112482,0.057925614,unknown
Q9GZU8,0.407131878,0.002700075,0.005939493,0.004020156,0.003285997,0.004101017,0.012017231,0.015014403,0.022725794,0.0226088,0.016881771,0.035018333,0.025309369,0.014836624,0.029806181,0.073980756,0.060749069,0.115660669,0.076927432,0.051284952,unknown
Q9GZX9,0.043275048,0.0065055,0.018549672,0.018828895,0.04773698,0.040698034,0.14318653,0.112998997,0.06747652,0.04725024,0.012363727,0.032965119,0.046515456,0.073256987,0.116261109,0.031864422,0.0673597,0.034332249,0.028991011,0.009583805,unknown
