,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
P80723;P80723-2,0.12395657870110441,0.08467777153908526,0.13841162892257866,0.4369580136003501,0.8454052030694342,0.1195645392725674,0.010568344874915248,0.09235760184665434,0.37943726994821986,0.8226963628423475,0.016463909164640234,0.0,0.09970678145860595,0.4985339072930298,1.0,Plasma membrane
P35613;P35613-2;P35613-4;P35613-3,0.03212747364920782,0.048873663127450465,0.09064247214123838,0.31225012179749995,1.0,0.027713764277373515,0.031719548691933525,0.08678555133667995,0.2854160061246744,0.918647003781522,0.0,0.0012353746336408809,0.04738502702744505,0.25829189640639477,0.8921222150905164,Plasma membrane
Q6YHK3;Q6YHK3-4;Q6YHK3-2,0.04347434743474361,0.05298610942175305,0.08268178169168335,0.27399226409127414,0.9326392098669335,0.045301286885445366,0.021220230131121367,0.062308122704161535,0.24421631352324358,0.9011117327949009,0.0008563018464009948,0.0,0.024813292140024906,0.21662977108521692,1.0,Plasma membrane
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,0.04732968161588498,0.07719616569667928,0.10118110236220505,0.29637110578569037,1.0,0.03212598425196857,0.04122903115371456,0.09730914070523823,0.28844573776104143,0.9944710715508386,0.0,0.01612461485792537,0.05189147552208159,0.232060938034919,0.915422800410818,Plasma membrane
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,0.06568201981764316,0.07256849058822241,0.09019219052301958,0.2827595053071521,1.0,0.07265400361292527,0.026014665483736443,0.08557448718907908,0.27260483362372073,0.9646991544899676,0.004908982074332231,0.0,0.026273876839866102,0.22583989823950112,0.9909409639455705,Plasma membrane
P13987,0.08095055267039934,0.12864792773859884,0.11523834542405159,0.35667953199830194,0.9574837836199401,0.0702527936629813,0.0458585082951087,0.08365429304665815,0.30175601673166597,0.8999333158203152,0.0,0.0031644674358922995,0.015147412451755564,0.29237981692161513,1.0,Plasma membrane
P21926,0.07839039450694965,0.09905664707340196,0.11091970025672258,0.33637890781578395,1.0,0.05639922524501816,0.042002613115146054,0.07617812020941621,0.28846159730488025,0.8317386395278038,0.0,0.006150306138372555,0.05130762852150829,0.280750765728414,0.9538880032312049,Plasma membrane
P48960;P48960-3;P48960-2,0.19646651011964786,0.22698199709269853,0.14205523873420783,0.3774460471877461,1.0,0.18422788773342294,0.10508777815051021,0.0654590182265476,0.3436766185843686,0.999776361399979,0.12060829699206109,0.05484736665548606,0.0,0.251011964665101,0.7609303365760929,Plasma membrane
P98082;P98082-3;P98082-2,0.014010131304838299,0.14706030192852307,0.2210232952990526,0.4566012655753458,0.9716558037185343,0.03370306452423624,0.07431205982719796,0.20091706739495782,0.44557076554462693,1.0,0.0,0.049511586213829555,0.12851789175030212,0.42563208953973397,0.7942741930979789,Plasma membrane
Q14118,0.03900744316971336,0.05552601251096677,0.09063153709758312,0.26967357079231147,1.0,0.02688733923038595,0.02754492826072739,0.04515388757576123,0.21419788397244158,0.8760645980570924,0.0,0.008023592683986539,0.028858428798373578,0.18197266643964227,0.8800067771930686,Plasma membrane
