Protein_ID,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9D7N3,0.004236766,0.076868193,0.120240548,0.014348909,0,0,0.002740666,0.060649533,0.097048822,0.012839473,6.12E-05,0,0.001990254,0.059878071,0.095993294,0.01147506,0,0,0.000493856,0.105741234,0.113342236,0.009768274,0,0,0.001161111,0.096220546,0.10656951,0.008332396,0,0,Mitochondrion
Q62348;Q545E6,0.02051036,0.050067969,0.031565955,0.040328054,0.031732566,0.022975929,0.019010861,0.042300073,0.032084907,0.032205086,0.032647561,0.028427659,0.020392093,0.046145782,0.035706648,0.041715569,0.023979419,0.018248547,0.017476674,0.036110884,0.042100686,0.039047062,0.041589928,0.042371087,0.021466051,0.035015622,0.044329449,0.03896239,0.045719695,0.025765434,unknown
Q91WC0;F2Z420,0.030995844,0.025394772,0.019901352,0.02004213,0.025237432,0.082514117,0.025358542,0.020423056,0.016239073,0.018548441,0.025907159,0.067818418,0.022576121,0.021490272,0.016811498,0.018345556,0.038597817,0.08750964,0.0303934,0.027272492,0.019029775,0.023732358,0.027001289,0.059405941,0.039677454,0.028856236,0.023006734,0.026577922,0.033262772,0.078072386,unknown
Q9Z0W3;Q9Z0W3-2,0.102611819,0.009971371,0.000810953,0.000223984,0.000113223,0,0.156829658,0.004531279,0.000581073,0.000758414,0.000426392,0,0.211980143,0.009412128,3.69E-05,0.000111182,0,0,0.224132179,0.001563081,7.96E-05,0,7.76E-05,7.67E-05,0.264688476,0.010196588,0.00041368,0.00031882,0,5.48E-05,Nuclear pore complex
S4R203;S4R248;A0A0A0MQ95;Q8C0D4;B2RUJ8;S4R221,0.010270227,0.019583041,0.018089678,0.02667187,0.035541372,0.019763293,0.006484165,0.029425905,0.035349103,0.057405423,0.061968536,0.039911124,0.001454581,0.027563299,0.033192631,0.060304753,0.074726025,0.040568771,0,0.053722815,0.037458601,0.054736597,0.04692239,0.003324179,0.007676342,0.043066084,0.04494617,0.042945916,0.040617931,0.02630918,unknown
E9PZJ8,0.004427802,0.010080973,0.015313676,0.025729477,0.029792138,0.135160573,0.004244012,0.007141083,0.011095208,0.023293789,0.031137172,0.113697261,0,0.004626006,0.010062531,0.012028994,0.040564071,0.121031884,0,0.007526362,0.004482282,0.028687704,0.050031246,0.11345348,0,0.00183779,0.006744674,0.024369604,0.050908857,0.112531352,unknown
Q8BHJ9;Z4YM25,0.080440717,0.015800263,0.00430442,0.014042449,0.029203269,0.04406923,0.091240588,0.01037154,0.003130392,0.012609154,0.019279252,0.053503851,0.090054172,0.010624525,0.000764296,0.01321632,0.036253718,0.06458724,0.107614867,0.00765744,0.003696382,0.011577147,0.029587982,0.037054548,0.10347986,0.009269744,0.000583525,0.008135147,0.031986111,0.055861851,unknown
O88741,0.006296778,0.069194058,0.118711075,0.031605545,0.00650484,0.002563162,0.004520916,0.052533456,0.08886486,0.023357908,0.004986015,0.000249616,0.002545974,0.045043828,0.083624304,0.028742267,0.01043245,0.003251952,0.003326817,0.064748943,0.124563029,0.026669128,0.006731307,0.002251786,0.0042592,0.046631592,0.109979934,0.016844645,0.007041685,0.003922931,unknown
A0A0R4J174;Q9QZH6,0.000749055,0.102873131,0.152127983,0.014869474,0,0,0.000920435,0.069160871,0.102551793,0.021615873,0,0,0.000991298,0.058810418,0.093492328,0.014441024,0,0,0,0.084788025,0.112964259,0.009424212,0,0,0.000758751,0.055473017,0.089873052,0.013811315,0.000303687,0,unknown
Q9WUP7-2,0.038652623,0.031847655,0.017327458,0.019274538,0.023299316,0.063965344,0.032918313,0.028829241,0.019970939,0.020824352,0.022897989,0.056017304,0.030527268,0.031483551,0.014800382,0.019298902,0.026296751,0.055337822,0.030925212,0.031679815,0.024710391,0.029019415,0.025263316,0.093570845,0.026209447,0.024565562,0.019206184,0.028268195,0.027508177,0.085503693,unknown
